latitude,longitude
51.3098882,4.3256305
51.30985795,4.44271
51.3098227,4.8459086
51.3097869,3.141090128
51.3096723,5.001455863
51.3096723,5.001455863
51.3094012,4.72878599
51.30913805,4.307115385
51.30904555,4.843209102
51.3089879,3.1104951
51.3089592,4.3254557
51.3089592,4.3254557
51.3089263,4.8868856
51.30868495,3.134911429
51.3085787,3.1345551
51.3084446,4.947904073
51.3083786,4.3595873
51.30823345,4.846823644
51.3077623,4.91229625
51.307592,4.4014494
51.3073578,4.5068574
51.3073578,4.5068574
51.3065833,4.586734594
51.30629955,4.91742136
51.30629955,4.91742136
51.30629955,4.91742136
51.3060607,4.404838685
51.3059104,4.9106567
51.3050601,5.022064319
51.30466615,5.095200174
51.3046211,4.2897808
51.3045076,4.566489509
51.30419505,4.709059613
51.3038218,4.737863725
51.3038218,4.737863725
51.30381265,4.688549857
51.30376745,4.629317601
51.3036443,4.340369672
51.3033351,4.918452711
51.3033351,4.918452711
51.3032029,4.3022132
51.3028546,4.399416299
51.3028381,5.111668093
51.30276425,4.927068259
51.30259935,4.946396399
51.3024653,3.0813798
51.30244565,4.934570431
51.30238025,4.73480295
51.3023038,4.7382438
51.30213845,4.733981123
51.3021335,5.113818202
51.30208865,4.78434306
51.3019459,4.893705245
51.30163075,4.47063
51.3016224,3.1467665
51.3015323,4.894663443
51.3015323,4.894663443
51.3010875,4.5127697
51.30102665,4.917271878
51.30074685,4.942496085
51.3007332,4.948375
51.3007332,4.948375
51.300496,3.076433606
51.3004484,3.0767904
51.3004484,3.0767904
51.30035205,5.099617997
51.3002933,4.7112505
51.3001884,4.2532068
51.3001091,4.2546634
51.3001091,4.2546634
51.29983405,4.493370906
51.29978355,5.104334062
51.29978355,5.104334062
51.29978355,5.104334062
51.29978355,5.104334062
51.2995666,4.5572984
51.29952525,4.840138743
51.2994224,4.4360832
51.2992982,4.938421391
51.2991649,4.837921424
51.29913645,4.719028604
51.2988385,3.079721839
51.2985029,4.6889469
51.298344,5.107334044
51.2982744,4.558801111
51.29799735,4.43468269
51.2978972,3.0786937
51.2978615,4.6965572
51.2973315,4.3123916
51.2973315,4.3123916
51.2972878,4.6898158
51.2970003,4.3395075
51.2967967,4.695058
51.29671135,3.073231605
51.29671135,3.073231605
51.2966476,4.731215559
51.29659185,4.547632894
51.2962549,4.546111
51.2960016,4.5091855
51.2960016,4.5091855
51.2960016,4.5091855
51.2956451,4.573140078
